Line#,Date,"Wind Direction (S-WDA 20989094:20975986-1), *, AMNC, Kingston, NY","Wind Speed (S-WSB 20989094:20977362-1), m/s, AMNC, Kingston, NY","Gust Speed (S-WSB 20989094:20977362-2), m/s, AMNC, Kingston, NY","Temperature (S-THB 20989094:20977910-1), *C, AMNC, Kingston, NY","RH (S-THB 20989094:20977910-2), %, AMNC, Kingston, NY","Dew Point (S-THB 20989094:20977910-3), *C, AMNC, Kingston, NY","Pressure (S-BPB 20989094:20979916-1), mbar, AMNC, Kingston, NY"
571,04/24/21 18:15:00,236,1.5,6.0,24.29,17.40,-1.99,"1,003.9"
572,04/24/21 19:15:00,241,1.5,6.0,23.64,16.90,-2.90,"1,003.4"
573,04/24/21 20:15:00,201,2.0,6.5,22.94,18.00,-2.62,"1,002.9"
574,04/24/21 21:15:00,209,2.0,6.5,22.51,18.10,-2.90,"1,002.7"
575,04/24/21 22:15:00,209,1.5,6.0,21.03,19.20,-3.32,"1,002.8"
576,04/24/21 23:15:00,192,1.5,6.0,19.46,23.50,-1.91,"1,002.7"
577,04/25/21 00:15:00,195,1.5,5.0,18.18,25.80,-1.73,"1,002.7"
578,04/25/21 01:15:00,168,1.0,4.5,16.75,30.50,-0.68,"1,003.4"
579,04/25/21 02:15:00,181,1.0,4.0,16.56,30.90,-0.66,"1,003.2"
580,04/25/21 03:15:00,185,1.0,4.0,16.08,32.20,-0.52,"1,002.6"
581,04/25/21 04:15:00,173,1.0,3.0,15.06,37.80,0.79,"1,002.0"
582,04/25/21 05:15:00,171,1.0,3.5,14.34,40.50,1.10,"1,001.4"
583,04/25/21 06:15:00,175,1.0,3.5,14.03,41.80,1.26,"1,000.4"
584,04/25/21 07:15:00,166,1.0,4.5,13.21,48.40,2.57,"1,000.2"
585,04/25/21 08:15:00,170,1.0,4.0,13.02,49.60,2.73,"1,000.3"
586,04/25/21 09:15:00,191,1.0,3.0,11.03,67.30,5.21,"1,000.1"
587,04/25/21 10:15:00,194,0.5,3.0,9.73,80.80,6.60,"1,000.1"
588,04/25/21 11:15:00,199,0.0,2.0,10.15,83.90,7.56,"1,000.5"
589,04/25/21 12:15:00,198,0.0,2.0,9.88,88.90,8.14,"1,000.6"
590,04/25/21 13:15:00,218,0.0,1.5,11.81,82.70,8.97,999.6
591,04/25/21 14:15:00,260,0.0,1.5,11.66,78.40,8.04,999.7
592,04/25/21 15:15:00,241,0.5,2.5,15.56,62.60,8.46,998.5
593,04/25/21 16:15:00,265,0.5,3.0,15.01,57.60,6.73,998.4
594,04/25/21 17:15:00,350,0.5,3.0,16.80,50.60,6.50,997.9
595,04/25/21 18:15:00,310,1.0,4.5,16.11,48.90,5.37,997.5
596,04/25/21 19:15:00,333,1.5,4.5,14.77,52.30,5.11,998.1
597,04/25/21 20:15:00,0,1.5,4.0,18.10,48.60,7.12,997.7
598,04/25/21 21:15:00,8,0.5,3.5,15.49,54.40,6.34,998.1
599,04/25/21 22:15:00,29,0.5,2.5,16.15,52.10,6.33,998.7
600,04/25/21 23:15:00,326,2.5,8.1,15.87,43.00,3.32,999.0
601,04/26/21 00:15:00,320,1.5,5.0,14.60,46.30,3.22,"1,000.0"
602,04/26/21 01:15:00,296,3.0,7.5,13.67,48.70,3.07,"1,000.9"
603,04/26/21 02:15:00,312,2.5,6.5,12.65,46.10,1.38,"1,001.4"
604,04/26/21 03:15:00,295,4.0,10.6,11.44,46.60,0.42,"1,002.4"
605,04/26/21 04:15:00,288,5.0,12.1,9.04,41.10,-3.47,"1,003.8"
606,04/26/21 05:15:00,295,3.5,10.1,7.24,43.10,-4.46,"1,004.7"
607,04/26/21 06:15:00,319,2.0,8.1,5.97,47.10,-4.45,"1,004.8"
608,04/26/21 07:15:00,329,1.5,6.0,5.64,48.90,-4.25,"1,005.4"
609,04/26/21 08:15:00,358,1.5,7.5,5.51,49.00,-4.34,"1,005.4"
610,04/26/21 09:15:00,314,3.0,8.6,4.71,51.40,-4.45,"1,006.4"
611,04/26/21 10:15:00,279,3.0,7.0,3.93,55.80,-4.09,"1,007.2"
612,04/26/21 11:15:00,300,1.5,6.5,4.82,51.00,-4.46,"1,008.0"
613,04/26/21 12:15:00,291,4.0,9.6,5.31,49.10,-4.51,"1,008.4"
614,04/26/21 13:15:00,286,4.0,9.6,6.64,40.50,-5.83,"1,007.2"
615,04/26/21 14:15:00,286,4.5,9.6,8.29,34.90,-6.29,"1,007.4"
616,04/26/21 15:15:00,284,3.5,10.6,10.30,30.90,-6.12,"1,007.2"
617,04/26/21 16:15:00,272,3.0,7.0,11.61,28.90,-5.85,"1,006.9"
618,04/26/21 17:15:00,272,3.0,7.5,12.99,27.00,-5.56,"1,006.5"
619,04/26/21 18:15:00,299,3.0,7.5,12.82,24.20,-7.13,"1,006.8"
620,04/26/21 19:15:00,288,2.5,7.5,15.46,22.60,-5.79,"1,007.3"
621,04/26/21 20:15:00,270,3.0,8.6,15.82,20.80,-6.57,"1,007.2"
622,04/26/21 21:15:00,285,3.0,9.1,15.22,18.90,-8.31,"1,007.3"
623,04/26/21 22:15:00,288,3.5,8.1,14.89,18.80,-8.65,"1,008.0"
624,04/26/21 23:15:00,316,3.0,7.5,13.67,21.60,-7.88,"1,008.9"
625,04/27/21 00:15:00,331,1.5,6.0,10.83,27.90,-6.99,"1,009.9"
626,04/27/21 01:15:00,302,2.0,6.5,9.73,28.70,-7.57,"1,010.5"
627,04/27/21 02:15:00,329,1.0,4.0,8.89,30.50,-7.52,"1,010.7"
628,04/27/21 03:15:00,292,1.5,4.0,7.67,32.80,-7.65,"1,011.1"
629,04/27/21 04:15:00,216,0.0,2.0,7.09,36.00,-6.96,"1,011.1"
630,04/27/21 05:15:00,230,0.0,2.0,6.05,37.80,-7.26,"1,011.5"
631,04/27/21 06:15:00,234,0.0,0.5,6.00,41.70,-6.03,"1,011.7"
632,04/27/21 07:15:00,213,0.0,2.0,5.85,37.20,-7.65,"1,011.4"
633,04/27/21 08:15:00,188,0.0,1.0,4.79,48.80,-5.06,"1,011.7"
634,04/27/21 09:15:00,188,0.0,1.5,5.36,42.40,-6.39,"1,011.9"
635,04/27/21 10:15:00,220,0.0,2.0,4.61,53.50,-4.02,"1,012.3"
636,04/27/21 11:15:00,208,0.0,1.5,5.33,54.20,-3.17,"1,012.6"
637,04/27/21 12:15:00,208,0.0,1.5,7.12,50.20,-2.54,"1,012.3"
638,04/27/21 13:15:00,191,0.5,2.5,8.47,40.40,-4.21,"1,011.5"
639,04/27/21 14:15:00,174,1.0,3.0,10.98,37.80,-2.85,"1,010.9"
640,04/27/21 15:15:00,108,0.5,3.0,14.79,27.80,-3.62,"1,008.8"
641,04/27/21 16:15:00,69,1.0,4.0,16.15,23.60,-4.64,"1,007.7"
642,04/27/21 17:15:00,107,1.0,3.5,18.20,23.40,-3.03,"1,006.6"
643,04/27/21 18:15:00,108,0.5,4.0,21.01,20.80,-2.26,"1,006.0"
644,04/27/21 19:15:00,104,1.0,3.5,21.89,21.10,-1.34,"1,005.6"
645,04/27/21 20:15:00,131,1.0,4.0,23.57,21.70,0.44,"1,004.5"
646,04/27/21 21:15:00,157,1.5,5.0,23.57,20.70,-0.21,"1,004.3"
647,04/27/21 22:15:00,190,1.5,5.0,22.66,23.30,0.66,"1,004.1"
648,04/27/21 23:15:00,180,1.5,4.5,21.17,25.60,0.72,"1,004.4"
649,04/28/21 00:15:00,175,1.0,3.5,18.98,27.50,-0.17,"1,004.6"
650,04/28/21 01:15:00,150,1.0,3.5,17.53,31.30,0.36,"1,005.5"
651,04/28/21 02:15:00,149,0.5,4.0,16.18,32.90,-0.14,"1,005.3"
652,04/28/21 03:15:00,156,0.5,3.0,15.20,35.20,-0.07,"1,005.3"
653,04/28/21 04:15:00,170,1.0,4.5,14.62,38.50,0.66,"1,004.9"
654,04/28/21 05:15:00,167,0.0,1.0,13.09,48.50,2.49,"1,004.5"
655,04/28/21 06:15:00,168,0.5,5.0,13.33,48.30,2.65,"1,004.6"
656,04/28/21 07:15:00,15,0.5,4.5,12.92,47.10,1.92,"1,004.4"
657,04/28/21 08:15:00,37,0.0,2.0,11.03,55.70,2.52,"1,004.4"
658,04/28/21 09:15:00,37,0.0,0.5,10.25,61.40,3.16,"1,004.2"
659,04/28/21 10:15:00,37,0.0,1.5,10.03,62.50,3.20,"1,004.6"
660,04/28/21 11:15:00,37,0.0,1.0,11.42,61.10,4.20,"1,004.4"
661,04/28/21 12:15:00,303,0.0,1.5,14.00,51.40,4.15,"1,004.2"
662,04/28/21 13:15:00,198,0.5,3.5,17.77,43.30,5.14,"1,003.1"
663,04/28/21 14:15:00,180,0.5,3.0,21.17,37.40,6.08,"1,002.4"
664,04/28/21 15:15:00,105,1.0,3.0,21.84,36.70,6.40,"1,001.5"
665,04/28/21 16:15:00,135,0.5,3.0,22.97,35.30,6.83,"1,001.5"
666,04/28/21 17:15:00,97,0.5,3.5,26.52,31.10,8.08,"1,000.3"
667,04/28/21 18:15:00,81,0.5,3.0,26.74,31.70,8.55,999.4
668,04/28/21 19:15:00,97,1.0,4.0,28.59,31.00,9.83,998.9
669,04/28/21 20:15:00,128,1.0,4.5,29.21,31.30,10.51,997.9
670,04/28/21 21:15:00,133,0.5,3.5,28.79,30.60,9.80,997.8
671,04/28/21 22:15:00,314,0.5,3.0,26.60,35.40,10.07,998.6
672,04/28/21 23:15:00,17,5.0,14.6,19.15,61.90,11.69,"1,001.1"
673,04/29/21 00:15:00,27,2.5,8.1,16.25,81.60,13.11,"1,002.2"
674,04/29/21 01:15:00,97,0.0,3.0,15.94,86.50,13.71,"1,002.0"
675,04/29/21 02:15:00,201,0.5,3.0,15.70,89.60,14.01,"1,002.0"
676,04/29/21 03:15:00,216,0.5,3.5,15.51,90.60,14.00,"1,001.7"
677,04/29/21 04:15:00,202,0.5,2.5,15.03,92.50,13.84,"1,001.1"
678,04/29/21 05:15:00,199,0.5,2.5,15.10,93.20,14.03,"1,000.9"
679,04/29/21 06:15:00,185,1.0,3.0,15.44,92.90,14.31,"1,000.4"
680,04/29/21 07:15:00,163,0.0,3.0,15.34,92.80,14.20,"1,000.4"
681,04/29/21 08:15:00,171,0.5,2.5,15.13,93.50,14.10,"1,000.1"
682,04/29/21 09:15:00,183,0.0,1.0,15.22,94.60,14.38,999.6
683,04/29/21 10:15:00,184,0.0,1.5,15.72,94.60,14.88,999.8
684,04/29/21 11:15:00,168,0.0,2.0,16.42,94.10,15.48,999.6
685,04/29/21 12:15:00,31,0.0,2.5,17.34,93.80,16.36,999.1
686,04/29/21 13:15:00,14,0.0,1.0,17.46,93.00,16.34,998.7
687,04/29/21 14:15:00,79,0.0,1.5,17.18,94.80,16.36,998.7
688,04/29/21 15:15:00,117,0.0,2.0,18.32,93.40,17.26,997.9
689,04/29/21 16:15:00,104,0.0,3.5,18.82,93.30,17.74,996.8
690,04/29/21 17:15:00,114,0.0,1.5,19.48,93.30,18.40,996.4
691,04/29/21 18:15:00,121,0.0,2.0,20.72,91.50,19.31,995.2
692,04/29/21 19:15:00,161,0.5,3.0,20.67,92.20,19.39,994.1
693,04/29/21 20:15:00,177,1.0,3.5,19.79,95.60,19.10,992.5
694,04/29/21 21:15:00,157,0.5,4.0,19.06,97.40,18.66,991.4
695,04/29/21 22:15:00,17,0.5,3.5,16.22,98.20,15.96,990.5
696,04/29/21 23:15:00,7,0.5,3.0,15.46,98.90,15.31,989.8
